"Accident_Index","Location_Easting_OSGR ","Location_Northing_OSGR","Longitude","Latitude","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Date","Day_of_Week","Time","Local_Authority_(District)","Local_Authority_(Highway)","1st_Road_Class","1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","2nd_Road_Class","2nd_Road_Number","Pedestrian_Crossing-Human_Control","Pedestrian_Crossing-Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident","LSOA_of_Accident_Location"
"2013120194289","461951","452048","-1.0572710000000001","53.960814999999997","12","2","2","1","2013-11-09","7","17:15:00.0000000","189","E06000014","5","409","6","30","3","4","6","7610","0","0","6","2","2","0","0","1","1","E01013384"
"2013120194355","460883","450152","-1.0739240000000001","53.943902999999999","12","3","3","1","2013-11-06","4","17:00:00.0000000","189","E06000014","3","19","6","30","0","-1","-1","0","0","0","4","1","1","0","0","1","2","E01013362"
"2013120195226","459869","453175","-1.088778","53.971187999999998","12","3","2","1","2013-11-10","1","09:05:00.0000000","189","E06000014","6","3110","6","30","3","4","6","3110","0","0","1","8","4","0","0","1","1","E01013345"
"2013120195365","459341","451939","-1.0970660000000001","53.960141","12","3","1","1","2013-11-10","1","12:48:00.0000000","189","E06000014","5","405","6","30","0","-1","-1","0","0","0","1","1","1","0","0","1","1","E01013391"
"2013120195504","459794","451837","-1.0901829999999999","53.959172000000002","12","3","1","1","2013-11-07","5","10:40:00.0000000","189","E06000014","3","1036","6","30","3","2","5","405","0","5","1","1","1","0","0","1","2","E01033068"
"2013120195527","461948","451996","-1.0573269999999999","53.960348000000003","12","3","2","1","2013-11-10","1","18:10:00.0000000","189","E06000014","5","409","6","30","3","4","6","7510","0","0","4","2","2","0","0","1","1","E01013384"
"2013120195807","458483","451416","-1.110242","53.955539000000002","12","3","2","1","2013-11-11","2","10:24:00.0000000","189","E06000014","4","1228","6","30","3","4","6","5710","0","0","1","1","1","0","0","1","1","E01013395"
"2013120195852","458284","448793","-1.113774","53.931989000000002","12","2","2","1","2013-09-02","2","14:00:00.0000000","189","E06000014","3","1036","6","30","0","-1","-1","0","0","0","1","1","1","0","0","1","2","E01013355"
"2013120196452","463354","455792","-1.0351129999999999","53.994290999999997","12","3","4","1","2013-11-12","3","09:10:00.0000000","189","E06000014","3","1237","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1","E01013409"
"2013120197202","460590","453226","-1.077777","53.971563000000003","12","3","1","1","2013-10-22","3","07:40:00.0000000","189","E06000014","5","94","6","30","6","4","6","3410","0","1","4","2","2","0","0","1","2","E01013343"
"2013120197353","461753","453557","-1.0599829999999999","53.974400000000003","12","3","2","1","2013-11-11","2","16:55:00.0000000","189","E06000014","3","1036","6","40","3","4","6","4010","0","0","4","1","1","0","0","1","2","E01013385"
"2013120197600","461002","451297","-1.0718829999999999","53.954179000000003","12","2","2","1","2013-11-14","5","10:15:00.0000000","189","E06000014","3","1036","6","30","3","2","3","19","0","5","1","1","2","0","0","1","1","E01013363"
"2013120197749","456762","450811","-1.1365780000000001","53.950293000000002","12","3","2","1","2013-11-14","5","17:19:00.0000000","189","E06000014","5","285","6","30","0","-1","-1","0","0","0","4","1","1","0","0","1","1","E01013442"
"2013120197804","459979","455254","-1.086692","53.989859000000003","12","3","6","1","2013-11-14","5","18:25:00.0000000","189","E06000014","4","1363","6","60","3","2","5","417","0","0","6","1","2","0","0","2","1","E01013431"
"2013120198310","459146","454794","-1.099485","53.985821000000001","12","2","2","1","2013-11-15","6","13:40:00.0000000","189","E06000014","5","417","6","30","3","4","6","3210","0","0","1","1","1","0","0","1","1","E01013431"
"2013120198814","457282","450786","-1.12866","53.950011000000003","12","3","2","1","2013-11-16","7","08:10:00.0000000","189","E06000014","5","413","1","30","2","4","6","5610","0","1","1","1","2","0","0","1","1","E01013445"
"2013120198873","453015","451290","-1.1935830000000001","53.954993999999999","12","3","2","3","2013-11-16","7","11:02:00.0000000","189","E06000014","4","1224","6","30","3","4","6","6010","0","0","1","1","1","0","0","2","1","E01013421"
"2013120198904","460866","452576","-1.0737000000000001","53.965688999999998","12","3","2","1","2013-11-16","7","13:10:00.0000000","189","E06000014","5","90","6","30","3","4","6","3510","0","0","1","1","1","0","0","1","1",""
"2013120198963","459614","451317","-1.093027","53.954520000000002","12","3","2","1","2013-11-16","7","14:05:00.0000000","189","E06000014","3","1036","6","30","0","-1","-1","0","0","4","1","1","1","0","0","1","1","E01013416"
"2013120199045","457852","449934","-1.1201369999999999","53.942290999999997","12","2","2","1","2013-11-16","7","13:02:00.0000000","189","E06000014","6","5611","6","30","3","4","6","5611","0","0","1","1","1","0","0","1","1","E01013359"
"2013120199142","459703","451753","-1.0915859999999999","53.958427999999998","12","2","1","2","2013-11-16","7","17:55:00.0000000","189","E06000014","3","1036","6","30","3","4","6","0","0","4","4","1","1","0","0","1","1","E01033068"
