Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2011120033814,4,3,1,2,20,4,3,0,0,0,0,0,9,-1,
2011120033814,5,4,1,1,53,8,3,0,0,0,0,0,9,1,
2011120033814,6,5,1,1,27,6,3,0,0,0,0,0,9,1,
2011120033814,6,7,2,1,60,9,3,0,0,1,0,0,9,1,
2011120034917,1,1,1,1,43,7,3,0,0,0,0,0,9,-1,
2011120034917,1,2,2,1,58,9,3,0,0,1,0,0,9,1,
2011120034946,2,1,1,1,33,6,3,0,0,0,0,0,5,1,
2011120035242,1,1,2,2,14,3,3,0,0,0,4,0,11,-1,
2011120036343,2,1,1,1,32,6,3,0,0,0,0,0,1,1,
2011120036749,2,1,1,1,52,8,3,0,0,0,0,0,9,2,
2011120037046,1,1,1,2,22,5,3,0,0,0,0,0,9,-1,
2011120037046,3,2,1,1,46,8,3,0,0,0,0,0,1,1,
2011120037298,2,1,1,1,48,8,3,0,0,0,0,0,5,2,
2011120037422,2,1,1,1,13,3,3,0,0,0,0,0,1,1,
2011120037655,2,1,1,1,27,6,3,0,0,0,0,0,9,-1,
2011120037655,2,2,2,1,27,6,3,0,0,1,0,0,9,-1,
2011120037655,2,3,2,2,21,5,3,0,0,2,0,0,9,-1,
2011120037865,2,1,2,2,81,11,3,0,0,1,0,0,9,1,
2011120038617,1,1,1,2,48,8,3,0,0,0,0,0,9,2,
2011120038658,1,1,1,1,14,3,3,0,0,0,0,0,1,1,
2011120038847,1,1,3,1,12,3,3,5,1,0,0,0,0,-1,
2011120040585,1,1,1,2,51,8,3,0,0,0,0,0,1,2,
2011120040595,2,1,1,1,50,8,3,0,0,0,0,0,1,1,
2011120041129,1,1,3,1,11,3,3,5,2,0,0,0,0,-1,
2011120041472,1,1,1,1,31,6,3,0,0,0,0,0,9,-1,
2011120041524,1,1,1,2,66,10,3,0,0,0,0,0,9,-1,
2011120041630,1,1,1,1,19,4,3,0,0,0,0,0,9,-1,
2011120041693,1,1,1,1,17,4,3,0,0,0,0,0,2,1,
2011120042300,1,1,1,1,16,4,3,0,0,0,0,0,2,-1,
2011120043701,1,1,1,1,46,8,3,0,0,0,0,0,9,-1,
2011120043903,1,1,3,1,51,8,3,5,3,0,0,0,0,-1,
2011120044237,3,1,1,2,57,9,3,0,0,0,0,0,9,1,
2011120044425,1,1,1,2,45,7,3,0,0,0,0,0,9,3,
2011120045824,2,1,1,2,44,7,3,0,0,0,0,0,9,3,
2011120045978,2,1,1,2,59,9,2,0,0,0,0,0,1,1,
2011120046362,1,1,1,1,33,6,3,0,0,0,0,0,9,-1,
2011120046554,1,1,1,2,48,8,3,0,0,0,0,0,9,3,
2011120046747,2,1,1,1,15,3,3,0,0,0,0,0,1,3,
2011120047399,2,1,1,1,16,4,2,0,0,0,0,0,2,3,
2011120048557,1,1,2,2,48,8,2,0,0,0,0,0,4,1,
2011120049055,2,1,1,1,80,11,3,0,0,0,0,0,9,1,
2011120049695,1,1,1,1,77,11,3,0,0,0,0,0,1,1,
2011120049827,1,1,3,2,23,5,3,5,1,0,0,0,0,-1,
2011120049827,1,2,2,2,87,11,3,0,0,0,4,0,11,-1,
2011120050005,1,1,3,2,9,2,3,5,1,0,0,0,0,2,
2011120050231,2,1,1,1,34,6,3,0,0,0,0,0,1,1,
2011120050252,1,1,1,1,51,8,3,0,0,0,0,0,1,1,
2011120050782,3,1,1,1,44,7,3,0,0,0,0,0,9,1,
2011120050782,3,3,2,2,36,7,3,0,0,1,0,0,9,1,
2011120050782,4,2,1,2,20,4,3,0,0,0,0,0,9,1,
2011120050785,1,1,1,1,22,5,3,0,0,0,0,0,1,1,
2011120052004,1,1,3,1,25,5,3,5,1,0,0,0,0,-1,
2011120052231,2,1,1,1,23,5,3,0,0,0,0,0,5,-1,
2011120052244,2,1,1,2,40,7,3,0,0,0,0,0,9,1,
2011120052311,1,1,1,1,21,5,3,0,0,0,0,0,3,1,
2011120052522,1,1,3,1,11,3,3,5,1,0,0,0,0,1,
2011120053389,2,1,1,1,39,7,3,0,0,0,0,0,9,1,
2011120053606,1,1,1,1,64,9,3,0,0,0,0,0,9,2,
2011120053606,2,2,1,1,67,10,3,0,0,0,0,0,9,1,
2011120054333,1,1,2,2,17,4,3,0,0,1,0,0,9,-1,
2011120054333,2,2,2,2,15,3,3,0,0,0,0,0,19,-1,
2011120054702,2,1,1,1,27,6,2,0,0,0,0,0,1,1,
2011120055671,1,1,1,2,63,9,3,0,0,0,0,0,9,2,
2011120055671,2,2,1,1,23,5,3,0,0,0,0,0,9,3,
2011120056303,1,1,1,1,33,6,3,0,0,0,0,0,1,1,
2011120056943,2,1,1,2,45,7,2,0,0,0,0,0,1,2,
2011120058001,1,1,1,2,55,8,3,0,0,0,0,0,9,2,
2011120058167,1,1,1,2,25,5,3,0,0,0,0,0,9,3,
2011120058196,1,1,1,1,41,7,1,0,0,0,0,0,5,2,
