"Acc_Index","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location-Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","1st_Po_of_Impact","Was_Vehicle_Left_Hand_Drive?","Journey_Purpose_of_Driver","Sex_of_Driver","Age_of_Driver","Age_Band_of_Driver","Engine_Capacity_(CC)","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type","Vehicle_IMD_Decile"
"2012120014719","1","9","0","18","0","0","0","0","0","0","1","1","5","2","45","7","1124","1","15","6","1",""
"2012120014719","2","9","0","18","0","0","0","0","0","0","2","1","5","2","22","5","1595","1","13","3","2",""
"2012120014719","3","9","0","18","0","0","0","0","0","0","2","1","5","1","43","7","1997","1","6","8","3",""
"2012120014719","4","9","0","18","0","0","0","0","0","0","2","1","5","1","61","9","1560","2","5","8","3",""
"2012120016449","1","1","0","18","4","8","0","0","0","0","2","1","2","1","39","7","-1","-1","-1","10","1",""
"2012120016449","2","9","0","7","0","1","0","0","0","0","4","1","2","1","26","6","1248","2","6","-1","-1",""
"2012120016694","1","19","0","18","0","8","0","0","0","0","4","1","6","1","25","5","2402","2","5","9","1",""
"2012120016694","2","1","0","18","0","8","0","0","0","0","3","1","6","1","50","8","-1","-1","-1","9","1",""
"2012120016975","1","1","0","18","0","0","0","0","0","0","3","1","1","1","47","8","-1","-1","-1","7","1",""
"2012120016975","2","9","0","13","0","0","0","0","0","0","3","1","1","2","63","9","1587","1","10","-1","-1",""
"2012120019372","1","9","0","18","0","3","0","0","0","0","1","1","6","1","40","7","1994","2","8","5","1",""
"2012120019372","2","9","0","18","0","3","0","0","0","0","4","1","6","1","58","9","1896","2","3","10","1",""
"2012120019912","1","9","0","18","9","0","1","0","1","0","4","1","5","2","22","5","1753","2","10","6","1",""
"2012120021444","1","2","0","18","0","0","0","0","0","0","0","1","1","2","41","7","49","1","1","6","1",""
"2012120021526","1","9","0","1","0","0","0","0","0","0","2","1","1","1","34","6","1968","2","3","6","1",""
"2012120021526","2","9","0","18","9","0","1","4","0","0","4","1","1","1","18","4","1390","1","6","8","3",""
"2012120021526","3","9","0","2","0","0","0","0","0","0","3","1","5","2","22","5","1199","1","12","6","1",""
"2012120021721","1","9","0","18","0","0","0","0","0","0","1","1","5","1","22","5","1242","1","8","7","1",""
"2012120022380","1","9","0","18","0","8","0","0","0","0","1","1","6","1","51","8","1598","1","5","3","1",""
"2012120022662","1","9","0","18","0","1","0","0","0","0","1","1","6","1","50","8","875","1","1","8","3",""
"2012120022786","1","1","0","18","0","2","0","0","0","0","4","1","1","1","20","4","-1","-1","-1","8","1",""
"2012120022786","2","9","0","6","0","1","0","0","0","0","3","1","6","1","-1","-1","-1","-1","-1","-1","-1",""
"2012120024276","1","11","0","18","0","0","0","0","0","0","0","1","1","1","51","8","9600","2","11","9","1",""
"2012120024276","2","9","0","5","0","0","0","0","0","0","0","1","6","2","30","6","1199","1","11","6","3",""
"2012120026096","1","9","0","18","0","0","0","0","0","0","4","1","5","2","43","7","1997","2","2","5","3",""
"2012120026911","1","2","0","18","0","1","1","0","0","0","3","1","2","2","28","6","124","1","3","10","1",""
"2012120026911","2","9","0","9","0","2","0","0","0","0","1","1","1","1","22","5","1968","2","1","6","1",""
"2012120027305","1","9","0","17","0","1","0","0","1","2","1","1","5","2","52","8","1124","1","6","-1","-1",""
"2012120028729","1","4","0","18","0","0","0","0","0","0","0","1","6","1","19","4","124","1","4","2","1",""
"2012120028729","2","9","0","9","0","0","0","0","0","0","0","1","6","3","-1","-1","-1","-1","-1","-1","-1",""
"2012120028860","1","9","0","9","0","6","0","0","0","0","1","1","6","2","24","5","1240","1","6","8","3",""
"2012120028860","2","1","0","18","4","8","1","0","0","0","1","1","1","1","41","7","-1","-1","-1","8","3",""
"2012120029521","1","2","0","18","0","0","0","11","0","0","1","1","5","1","24","5","-1","-1","-1","-1","-1",""
"2012120029699","1","9","0","18","0","8","0","0","0","0","1","1","5","2","63","9","998","1","5","5","1",""
"2012120029699","2","1","0","9","0","8","0","0","0","0","3","1","6","1","16","4","-1","-1","-1","-1","-1",""
"2012120031360","1","9","0","18","0","0","0","0","0","0","2","1","5","1","31","6","973","1","12","6","1",""
"2012120031360","2","2","0","18","0","0","0","0","0","0","1","1","5","1","17","4","49","1","3","5","1",""
"2012120031826","1","9","0","18","0","4","0","0","0","0","1","1","6","1","40","7","1598","1","12","2","1",""
"2012120031826","2","9","0","18","0","4","0","0","0","0","2","1","5","2","18","4","1753","2","11","4","1",""
"2012120032932","1","19","0","9","0","8","0","0","0","0","3","1","6","1","22","5","1868","2","8","9","1",""
"2012120032932","2","1","0","18","0","8","0","0","0","0","1","1","6","1","65","9","-1","-1","-1","8","1",""
"2012120035177","1","9","0","9","0","0","0","0","0","0","4","1","2","1","26","6","2231","2","5","4","1",""
"2012120035177","2","3","0","18","0","0","0","0","0","0","1","1","2","1","17","4","-1","-1","-1","10","1",""
